id,old_id,duration,point_num,vel_change_mean,angle_change_mean,logcr_change_mean,max_ditance_x,max_ditance_y,endpts_num,vel_change_mean_x,vel_change_mean_y,intersection_num,vel_change_num,total_num_crossx,total_num_crossy,total_num_cross_ax,total_num_cross_ay,x_axis_intersections,FRR,FAR,accuracy,FAR_class
1,1,2958.0,141,0.18770620061251891,0.013422806871250772,0.02431557621232386,812.73546,410.73660000000007,0,0.10520936938622187,0.24745946006310574,3,5,8,14,17,15,4,2.380952380952381,5.0,96.7741935483871,1
2,2,3568.0,133,0.12306022790162,0.011522415437652679,0.015608320747281142,809.2366,336.74278000000004,0,0.11743901379546597,0.17604565447807669,3,7,12,16,20,18,8,0.0,0.0,100.0,0
3,3,2966.0,107,0.17389648931124868,0.00834745377867261,0.01360336145629871,658.7855300000001,411.53882,0,0.18350284459429086,0.2718033457331234,6,12,14,13,17,13,6,0.0,0.0,100.0,0
4,4,4245.0,165,0.20680514315928852,0.01061938967555734,0.015521314749904374,1107.03427,426.57263000000006,0,0.2594186104881561,0.18853630257034415,5,8,18,18,20,20,12,80.95238095238095,0.0,45.16129032258064,0
5,5,5200.0,150,0.22480201411682113,0.008569569456542438,0.013523474438289019,1300.5765299999998,481.7185099999999,0,0.2274364507307692,0.3094161368034187,7,24,22,20,31,22,2,38.095238095238095,0.0,74.19354838709677,0
6,6,3167.0,164,0.1821110383213453,0.014214281016260445,0.017138657915507276,825.1970000000001,398.93799,0,0.2099471335683963,0.25195912608497356,8,12,18,25,22,27,10,21.428571428571427,0.0,85.48387096774194,0
7,7,1841.0,61,0.12375236613242396,0.00865061700986924,0.015823888897348943,283.40774000000005,262.10853,0,0.08221553011044722,0.19903097222523988,1,4,10,8,10,8,4,4.761904761904762,5.0,95.16129032258065,1
8,8,2411.0,145,0.33670997263281777,0.016072355681518366,0.02241701744840387,1066.15292,433.14194,0,0.3039610035116827,0.4670914278722518,4,21,20,21,22,24,4,0.0,0.0,100.0,0
9,9,4066.0,223,0.21555524434092377,0.018516872582495326,0.03093234896692063,914.4208799999999,407.82298000000003,0,0.0742594826911516,0.28825171238181135,3,12,17,21,31,20,2,2.380952380952381,10.0,95.16129032258065,1
10,10,3702.0,141,0.267034871392815,0.006553593698115982,0.015504905011225952,1077.4062299999998,442.19727,0,0.3884389021579927,0.26291079735698436,10,21,17,17,20,23,2,4.761904761904762,0.0,96.7741935483871,0
11,11,5946.0,234,0.12783283538257756,0.011243057103517667,0.016438172658269964,969.95578,365.24219,0,0.12541593011174637,0.1510910574036701,7,5,24,21,32,27,12,7.142857142857142,5.0,93.54838709677419,1
12,12,4455.0,154,0.1603209797659602,0.008885934281869592,0.013749400890159632,532.6483499999999,504.669906,0,0.11510508475370988,0.21834187873151265,10,8,12,14,20,17,10,38.095238095238095,10.0,70.96774193548387,1
